Atomic Number,Symbol,Mass Number,Atomic Mass
,,,
1,H,1,1.007825032
1,D,2,2.014101778
2,He,3,3.01602931
2,,4,4.00260325
3,Li,6,6.011223
3,,7,7.016004
4,Be,9,9.0121821
5,B,10,10.012937
5,,11,11.0093055
6,C,12,12
6,,13,13.00335484
7,N,14,14.00307401
7,,15,15.0001089
8,O,16,15.99491462
8,,17,16.999315
8,,18,17.9991604
9,F,19,18.9984032
10,Ne,20,19.99244018
10,,21,20.99384674
10,,22,21.99138551
11,Na,23,22.98976967
12,Mg,24,23.9850419
12,,25,24.98583702
12,,26,25.98259304
13,Al,27,26.985384
14,Si,28,27.97692653
14,,29,28.97649472
14,,30,29.97377022
15,P,31,30.97376151
16,S,32,31.97207069
16,,33,32.9714585
16,,34,33.9678683
16,,36,35.96708088
17,Cl,35,34.96885271
17,,37,36.9659026
18,Ar,36,35.96754628
18,,38,37.9627322
18,,40,39.96238312
19,K,39,38.9637069
19,,40,39.96399867
19,,41,40.96182597
20,Ca,40,39.9625912
20,,42,41.9586183
20,,43,42.9587668
20,,44,43.9554811
20,,46,45.9536928
20,,48,47.952534
21,Sc,45,44.9559102
22,Ti,46,45.9526295
22,,47,46.9517638
22,,48,47.9479471
22,,49,48.9478708
22,,50,49.9447921
23,V,50,49.9471628
23,,51,50.9439637
24,Cr,50,49.9460496
24,,52,51.9405119
24,,53,52.9406538
24,,54,53.9388849
25,Mn,55,54.9380496
26,Fe,54,53.9396148
26,,56,55.9349421
26,,57,56.9353987
26,,58,57.9332805
27,Co,59,58.9332002
28,Ni,58,57.9353479
28,,60,59.9307906
28,,61,60.9310604
28,,62,61.9283488
28,,64,63.9279696
29,Cu,63,62.9296011
29,,65,64.9277937
30,Zn,64,63.9291466
30,,66,65.9260368
30,,67,66.9271309
30,,68,67.9248476
30,,70,69.925325
31,Ga,69,68.925581
31,,71,70.924705
32,Ge,70,69.9242504
32,,72,71.9220762
32,,73,72.9234594
32,,74,73.9211782
32,,76,75.9214027
33,As,75,74.9215964
34,Se,74,73.9224766
34,,76,75.9192141
34,,77,76.9199146
34,,78,77.9173095
34,,80,79.9165218
34,,82,81.9167
35,Br,79,78.9183376
35,,81,80.916291
36,Kr,78,77.920386
36,,80,79.916378
36,,82,81.9134846
36,,83,82.914136
36,,84,83.911507
36,,86,85.9106103
37,Rb,85,84.9117893
37,,87,86.9091835
38,Sr,84,83.913425
38,,86,85.9092624
38,,87,86.9088793
38,,88,87.9056143
39,Y,89,88.9058479
40,Zr,90,89.9047037
40,,91,90.905645
40,,92,91.9050401
40,,94,93.9063158
40,,96,95.908276
41,Nb,93,92.9063775
42,Mo,92,91.90681
42,,94,93.9050876
42,,95,94.9048415
42,,96,95.9046789
42,,97,96.906021
42,,98,97.9054078
42,,100,99.907477
44,Ru,96,95.907598
44,,98,97.905287
44,,99,98.9059393
44,,100,99.9042197
44,,101,100.9055822
44,,102,101.9043495
44,,104,103.90543
45,Rh,103,102.905504
46,Pd,102,101.905608
46,,104,103.904035
46,,105,104.905084
46,,106,105.903483
46,,108,107.903894
46,,110,109.905152
47,Ag,107,106.905093
47,,109,108.904756
48,Cd,106,105.906458
48,,108,107.904183
48,,110,109.903006
48,,111,110.904182
48,,112,111.9027572
48,,113,112.9044009
48,,114,113.9033581
48,,116,115.904755
49,In,113,112.904061
49,,115,114.903878
50,Sn,112,111.904821
50,,114,113.902782
50,,115,114.903346
50,,116,115.901744
50,,117,116.902954
50,,118,117.901606
50,,119,118.903309
50,,120,119.9021966
50,,122,121.9034401
50,,124,123.9052746
51,Sb,121,120.903818
51,,123,122.9042157
52,Te,120,119.90402
52,,122,121.9030471
52,,123,122.904273
52,,124,123.9028195
52,,125,124.9044247
52,,126,125.9033055
52,,128,127.9044614
52,,130,129.9062228
53,I,127,126.904468
54,Xe,124,123.9058958
54,,126,125.904269
54,,128,127.9035304
54,,129,128.9047795
54,,130,129.9035079
54,,131,130.9050819
54,,132,131.9041545
54,,134,133.9053945
54,,136,135.90722
55,Cs,133,132.905447
56,Ba,130,129.90631
56,,132,131.905056
56,,134,133.904503
56,,135,134.905683
56,,136,135.90457
56,,137,136.905821
56,,138,137.905241
57,La,138,137.907107
57,,139,138.906348
58,Ce,136,135.90714
58,,138,137.905986
58,,140,139.905434
58,,142,141.90924
59,Pr,141,140.907648
60,Nd,142,141.907719
60,,143,142.90981
60,,144,143.910083
60,,145,144.912569
60,,146,145.913112
60,,148,147.916889
60,,150,149.920887
62,Sm,144,143.911995
62,,147,146.914893
62,,148,147.914818
62,,149,148.91718
62,,150,149.917271
62,,152,151.919728
62,,154,153.922205
63,Eu,151,150.919846
63,,153,152.921226
64,Gd,152,151.919788
64,,154,153.920862
64,,155,154.922619
64,,156,155.92212
64,,157,156.923957
64,,158,157.924101
64,,160,159.927051
65,Tb,159,158.925343
66,Dy,156,155.924278
66,,158,157.924405
66,,160,159.925194
66,,161,160.92693
66,,162,161.92695
66,,163,162.928728
66,,164,163.929171
67,Ho,165,164.930319
68,Er,162,161.928775
68,,164,163.929197
68,,166,165.93029
68,,167,166.932045
68,,168,167.932368
68,,170,169.93546
69,Tm,169,168.934211
70,Yb,168,167.933894
70,,170,169.934759
70,,171,170.936322
70,,172,171.9363777
70,,173,172.9382068
70,,174,173.9388581
70,,176,175.942568
71,Lu,175,174.9407679
71,,176,175.9426824
72,Hf,174,173.94004
72,,176,175.9414018
72,,177,176.94322
72,,178,177.9436977
72,,179,178.9458151
72,,180,179.9465488
73,Ta,180,179.947466
73,,181,180.947996
74,W,180,179.946706
74,,182,181.948206
74,,183,182.9502245
74,,184,183.9509326
74,,186,185.954362
75,Re,185,184.9529557
75,,187,186.9557508
76,Os,184,183.952491
76,,186,185.953838
76,,187,186.9557479
76,,188,187.955836
76,,189,188.9581449
76,,190,189.958445
76,,192,191.961479
77,Ir,191,190.960591
77,,193,192.962924
78,Pt,190,189.95993
78,,192,191.961035
78,,194,193.962664
78,,195,194.964774
78,,196,195.964935
78,,198,197.967876
79,Au,197,196.966552
80,Hg,196,195.965815
80,,198,197.966752
80,,199,198.968262
80,,200,199.968309
80,,201,200.970285
80,,202,201.97626
80,,204,203.973476
81,Tl,203,202.972329
81,,205,204.974412
82,Pb,204,203.973029
82,,206,205.974449
82,,207,206.975881
82,,208,207.976636
83,Bi,209,208.980383
90,,232,232.0380504
91,Pa,231,231.0358789
92,,234,234.0409456
92,,235,235.0439231
92,,236,236.0455619
92,,238,238.0507826
